
---------- Begin Simulation Statistics ----------
simSeconds                                   1.613590                       # Number of seconds simulated (Second)
system.cpu0.fpInstQueueReads                       43                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites                      24                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses              17                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                 4131560768                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                          24                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                       3928718347                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                    599209479                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                 54498401                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                         937551419                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                     432525901                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                   338341940                       # Number of stores executed (Count)
system.cpu0.numRate                          2.509465                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                           2470                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                         127514                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.committedInsts                 3044893591                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                   3044893726                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              0.514159                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         0.514159                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              1.944923                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         1.944923                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                5220886609                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites               3160373220                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                         15                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                         4                       # Number of floating regfile writes (Count)
system.cpu0.miscRegfileReads                       74                       # number of misc regfile reads (Count)
system.cpu0.miscRegfileWrites                       6                       # number of misc regfile writes (Count)
system.cpu0.MemDepUnit__0.insertedLoads     766997333                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores    441572416                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads    151771482                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores     85086641                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups              698116400                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted        498647884                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect         30629479                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups           422673509                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBUpdates             9902386                       # Number of BTB updates (Count)
system.cpu0.branchPred.BTBHits              421803389                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.997941                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed               13760466                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect               130                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups       44525641                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits          44274250                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses          251391                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted      7055650                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts     1785105456                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls            573                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts         30520214                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples   1324987596                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     2.298055                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     2.794278                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0      526149152     39.71%     39.71% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1      222537461     16.80%     56.51% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2      124934147      9.43%     65.93% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3      109206278      8.24%     74.18% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4       66685133      5.03%     79.21% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5       42237635      3.19%     82.40% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6       35997431      2.72%     85.11% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7       26967028      2.04%     87.15% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8      170273331     12.85%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total   1324987596                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted          3044893591                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted            3044893726                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                  735514540                       # Number of memory references committed (Count)
system.cpu0.commit.loads                    474391220                       # Number of loads committed (Count)
system.cpu0.commit.amos                           168                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                        245                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                 309986867                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                        16                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                 3012037291                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls              7173182                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass          245      0.00%      0.00% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu   2275667155     74.74%     74.74% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult     33711562      1.11%     75.84% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv          221      0.00%     75.84% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd            0      0.00%     75.84% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp            0      0.00%     75.84% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt            2      0.00%     75.84% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult            1      0.00%     75.84% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc            0      0.00%     75.84% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv            0      0.00%     75.84% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc            0      0.00%     75.84% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt            0      0.00%     75.84% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd            0      0.00%     75.84% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     75.84% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu            0      0.00%     75.84% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp            0      0.00%     75.84% # Class of committed instruction (Count)
