
---------- Begin Simulation Statistics ----------
simSeconds                                   5.811555                       # Number of seconds simulated (Second)
system.cpu.fuBusyRate                        0.150222                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads               7452022371                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               818059021                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       796153118                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads               16703889199                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites               7564033764                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses       7444226944                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   825892439                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                   8979537356                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                        8256689855                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                    1032429811                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                   2801003                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                         1639228435                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                      113186000                       # Number of branches executed (Count)
system.cpu.numStoreInsts                    606798624                       # Number of stores executed (Count)
system.cpu.numRate                           1.420737                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             490                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           22636                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                  8201666231                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                    8201666264                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.708582                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.708582                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.411269                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.411269                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                 3649080676                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                1387534146                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                  9586603571                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                 6138418966                       # Number of floating regfile writes (Count)
system.cpu.miscRegfileReads               17403300787                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites              11756779414                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads     1035549842                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores     614725693                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads     19164598                       # Number of conflicting loads. (Count)
