
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007810                       # Number of seconds simulated (Second)
system.cpu.intInstQueueWakeupAccesses        19145397                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                       957                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                      888                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses              364                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    20811456                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                          523                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                          19365753                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                       4366450                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                    418253                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                            6921679                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                        3735054                       # Number of branches executed (Count)
system.cpu.numStoreInsts                      2555229                       # Number of stores executed (Count)
system.cpu.numRate                           2.479484                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                           12121                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          517160                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                    16948263                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                      16949304                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.460838                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.460838                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               2.169962                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          2.169962                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                   22865469                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                  13319090                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                         273                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                        262                       # Number of floating regfile writes (Count)
system.cpu.miscRegfileReads                       728                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                      316                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads        4806920                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       2831892                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       284991                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       417307                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
