
---------- Begin Simulation Statistics ----------
simSeconds                                   7.866593                       # Number of seconds simulated (Second)
system.cpu0.statIssuedInstType_0::FloatMemWrite    479658047      3.59%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total   13364100795                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        1.698842                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                          272409984                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.020384                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads             28110399189                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites             9411815204                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses     9244014542                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads               6763612791                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites              3094825789                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses      2997932615                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                10163240276                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                  3472320993                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                      12253208715                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                   2632952293                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                 14950164                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                        3441294416                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                    2627070163                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                   808342123                       # Number of stores executed (Count)
system.cpu0.numRate                          1.557626                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                          33080                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                        1714510                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.committedInsts                12143161884                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                  12143175830                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              0.647821                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         0.647821                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              1.543637                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         1.543637                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads               15716017465                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites               6386822339                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                 3627297516                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                2438765586                       # Number of floating regfile writes (Count)
system.cpu0.miscRegfileReads               5700741148                       # number of misc regfile reads (Count)
system.cpu0.miscRegfileWrites              3033804126                       # number of misc regfile writes (Count)
system.cpu0.MemDepUnit__0.insertedLoads    2644407722                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores    817898607                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads    154583420                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores    104971231                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
