
---------- Begin Simulation Statistics ----------
simSeconds                                  13.399107                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     66.46% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     66.46% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     66.46% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     66.46% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead    468198245      2.57%     69.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite    295171058      1.62%     70.65% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead   4739631721     25.98%     96.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite    615441157      3.37%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total    18244144380                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.361594                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                          7084757327                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.388330                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads              30003857851                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites              8274535930                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses      8247155798                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads               26969028135                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites               9795986676                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses       9767788900                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                  8344991420                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                  16983909460                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                       18043560732                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                    5009870133                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                   3272702                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                         5919901380                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                      792375678                       # Number of branches executed (Count)
system.cpu.numStoreInsts                    910031247                       # Number of stores executed (Count)
system.cpu.numRate                           1.346624                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                            6251                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          244206                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                 17993044845                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                   17993045108                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.744683                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.744683                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.342854                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.342854                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                19285171798                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                7254772559                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                 11811933376                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                 9083723620                       # Number of floating regfile writes (Count)
system.cpu.miscRegfileReads               18518233500                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites               9245981198                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads     4985883991                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores     911702738                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads    150580285                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores    100183845                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
